[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 26.958138
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.006050
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 72.153534
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.001771
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 55.965904
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 10.295996
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.020410
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.050331
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.709288
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 4.230678
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000118
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 8.430379
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.124865
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.085628
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.010751
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 46.618927
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 31.666000
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 72.732376
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 50.276844
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 56.123753
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000063
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000005
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.953991
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.483673
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.205190
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 64.563988
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.264084
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 10.176229
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.193657
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000080
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.001692
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.109444
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 31.778246
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 3.125847
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.031097
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 11.103737
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 159.589676
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 75.217957
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.572197
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 26.254585
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 60.623024
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000626
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.002580
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 3.413765
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 42.150593
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000152
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 15.199918
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 36.310448
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000005
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.764006
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 19.234966
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 20.351967
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 54.417427
